Product_Name,Image_URL,Lowest_Price,Best_Store,Best_Store_Buy_URL,Amazon_Price,Amazon_URL,Flipkart_Price,Flipkart_URL,eBay_Price,eBay_URL,Meesho_Price,Meesho_URL,Myntra_Price,Myntra_URL
Vivo V30,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRa7KLxMQRRajrA0JDz1-9H56MFpflomawRAfJZT37sbJeTYPl2cyBpBd4cV7EjEKgO7VaJ6DlJWLIaDO0NqmwIfWbIOLzdvw,31999.0,Manual,"https://www.google.com/search?ibp=oshop&q=Vivo V30&prds=productid:13451422660955454139,headlineOfferDocid:13451422660955454139,imageDocid:11804920550267716792,pvt:hg&hl=en&gl=in&udm=28",899.0,"https://www.google.com/search?ibp=oshop&q=Vivo V30&prds=productid:13451422660955454139,headlineOfferDocid:13451422660955454139,imageDocid:11804920550267716792,pvt:hg&hl=en&gl=in&udm=28",920.0,"https://www.google.com/search?ibp=oshop&q=Vivo V30&prds=catalogid:2369971726890025725,productid:11512127448154885885,headlineOfferDocid:9625933774827389365,imageDocid:3137087793175043871,pvt:hg&hl=en&gl=in&udm=28",,,,,,
MacBook Air M2,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ1K77qgAk5uym8BwebIMQ3n8SNqF6vi3Y5VD4cQl2uGgddatpVAMWzbddV6BwmMg_dKau6nDP_KCudXLWvp_mQaeCxp_l30qX0bjNxkUVXTIWE4NW8f8Gr,99900.0,Manual,,,,,,,,,,,
MacBook Air M3,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPoGY19B0vMprq-uQV5PkhY9VloJZ7egl9P0wAR816KzBbo5G2FLbu6FOlG3shfMYb9cT4oM6fkygndhNbeN4FGsG9DR69AQaqj4j_8qhIY4k3wcVGmT8Law,114900.0,Manual,,,,,,,,,,,
Dell XPS 13,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ--iXW0PNKevgfIhX5mGDFHrfAu9cpuK6jK3XXi8_mXXeSwQyq_ExU5CJL1qc,139104.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=Dell XPS 13&prds=productid:13510493892198860477,headlineOfferDocid:13510493892198860477,imageDocid:17753366106918151093,pvt:hg&hl=en&gl=in&udm=28",162490.0,"https://www.google.com/search?ibp=oshop&q=Dell XPS 13&prds=catalogid:4670487583619442415,productid:9630099700467155770,headlineOfferDocid:3760320845221587606,imageDocid:2071230046746187796,rds:PC_12164043393717737707|PROD_PC_12164043393717737707,gpcid:12164043393717737707,mid:576462829857132261,pvt:hg&hl=en&gl=in&udm=28",139104.0,"https://www.google.com/search?ibp=oshop&q=Dell XPS 13&prds=productid:13510493892198860477,headlineOfferDocid:13510493892198860477,imageDocid:17753366106918151093,pvt:hg&hl=en&gl=in&udm=28",,,,,,
HP Pavilion 15,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSezJEkmAZ-hd-YCCIPUKn1StU2COA5I-cUQIVj8c-7x5zDSRLwFN8XiK-s50yU771VmnkxP_l_,75794.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=HP Pavilion 15&prds=catalogid:17214502385015520839,productid:4651064859434273652,headlineOfferDocid:4356420914894727888,imageDocid:13475799654754285924,gpcid:15925603387848811428,pvt:hg&hl=en&gl=in&udm=28",,,75794.0,"https://www.google.com/search?ibp=oshop&q=HP Pavilion 15&prds=catalogid:17214502385015520839,productid:4651064859434273652,headlineOfferDocid:4356420914894727888,imageDocid:13475799654754285924,gpcid:15925603387848811428,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Lenovo IdeaPad Slim 3,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSC3UMbTJGOUeb9xwewPfYCQ9jj878YhSrUdAbjCo7eQYZIKk55Pf9UgJupaM5x-irAei7dGA_jeqfZw4DJwYiUxl5j8RGjNbbGirul-Ar3zRYKgaUbDPxt5Q,54600.0,Amazon,"https://www.google.com/search?ibp=oshop&q=Lenovo IdeaPad Slim 3&prds=catalogid:7054778385055428525,productid:11603373126327272533,headlineOfferDocid:1574693094462931713,imageDocid:8644728789116429880,rds:PC_4867708408258856973|PROD_PC_4867708408258856973,gpcid:4867708408258856973,pvt:hg&hl=en&gl=in&udm=28",54600.0,"https://www.google.com/search?ibp=oshop&q=Lenovo IdeaPad Slim 3&prds=catalogid:7054778385055428525,productid:11603373126327272533,headlineOfferDocid:1574693094462931713,imageDocid:8644728789116429880,rds:PC_4867708408258856973|PROD_PC_4867708408258856973,gpcid:4867708408258856973,pvt:hg&hl=en&gl=in&udm=28",70000.0,"https://www.google.com/search?ibp=oshop&q=Lenovo IdeaPad Slim 3&prds=catalogid:16066591139820635938,productid:10772698902783087108,headlineOfferDocid:11519734694788617812,imageDocid:16021292386281136414,gpcid:6219885407140102665,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Asus Vivobook 15,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQoz66vjb-R9QONXdPjyfupD6jrqZO-5AkBWhGtbbnvlLH83NaxTW7n_XwFvr4PpQIHr2UL4VFK1gCsbnoHOxrgcD1QQNA0Yd060-xSEf3RPB2F_XQ9aM4W7w,55990.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=Asus Vivobook 15&prds=catalogid:4715864817515936691,productid:14245936247296937864,headlineOfferDocid:13442928925549793337,imageDocid:7020576052550397051,rds:PC_5206346404616045926|PROD_PC_5206346404616045926,gpcid:5206346404616045926,pvt:hg&hl=en&gl=in&udm=28",63990.0,"https://www.google.com/search?ibp=oshop&q=Asus Vivobook 15&prds=catalogid:18346305441909293559,productid:14851539950672670161,headlineOfferDocid:14621546337514313475,imageDocid:3240573326056614603,rds:PC_2317652812983510259|PROD_PC_2317652812983510259,gpcid:2317652812983510259,pvt:hg&hl=en&gl=in&udm=28",55990.0,"https://www.google.com/search?ibp=oshop&q=Asus Vivobook 15&prds=catalogid:4715864817515936691,productid:14245936247296937864,headlineOfferDocid:13442928925549793337,imageDocid:7020576052550397051,rds:PC_5206346404616045926|PROD_PC_5206346404616045926,gpcid:5206346404616045926,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Acer Nitro 5,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT3ilFRitk4fN-XBCErTmTsRnRVZ23fT6zxrC9ILHBU3XH8pugcU0MkoB7oLvvUmm8fz6ZcvCIT2XOiGQiAqNGImcze7GLGtBg3DdtzvVV9,79999.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=Acer Nitro 5&prds=catalogid:1800824817430932770,productid:18160271399803040438,headlineOfferDocid:5465783469378994006,imageDocid:2546905444042722763,rds:PC_12160990959975918272|PROD_PC_12160990959975918272,gpcid:12160990959975918272,pvt:hg&hl=en&gl=in&udm=28",109700.0,"https://www.google.com/search?ibp=oshop&q=Acer Nitro 5&prds=catalogid:11084148754172747127,productid:99178756619543261,headlineOfferDocid:5238567027159216928,imageDocid:15560861072293172270,gpcid:8494396387009818629,mid:576462892661855287,pvt:hg&hl=en&gl=in&udm=28",79999.0,"https://www.google.com/search?ibp=oshop&q=Acer Nitro 5&prds=catalogid:1800824817430932770,productid:18160271399803040438,headlineOfferDocid:5465783469378994006,imageDocid:2546905444042722763,rds:PC_12160990959975918272|PROD_PC_12160990959975918272,gpcid:12160990959975918272,pvt:hg&hl=en&gl=in&udm=28",,,,,,
boAt Airdopes 141,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRnf3tKPNq0a9OsIZFNZw9NEHBso5yF4etq6qhAG5bXu0oGizjOjWCHnfWEJvxcwzpmRYoInp7JgU3ymcI8Jjf61MbrWh0p_F4DRJpP_vtFQBEKH5Vmn-nr,938.0,Amazon,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes 141&prds=catalogid:11076694992688422128,productid:3589486439145232955,headlineOfferDocid:2202700765670254742,imageDocid:11654784271641991066,rds:PC_5766774422251240636|PROD_PC_5766774422251240636,gpcid:5766774422251240636,mid:576462806888431392,pvt:hg&hl=en&gl=in&udm=28",938.0,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes 141&prds=catalogid:11076694992688422128,productid:3589486439145232955,headlineOfferDocid:2202700765670254742,imageDocid:11654784271641991066,rds:PC_5766774422251240636|PROD_PC_5766774422251240636,gpcid:5766774422251240636,mid:576462806888431392,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
boAt Rockerz 255,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQeFOtypgbeZMtnTUqTM_Rsz4X9x90mNalIJX0IWhmQL6ydeMQ9f70Y_jVu_ocBgjdr87FGdQHh6E6s9gScz7ulkF0ohQYZzXSCPiysX64rm3rY-WFjPsy7eQ,1699.0,Amazon,"https://www.google.com/search?ibp=oshop&q=boAt Rockerz 255&prds=catalogid:5817040786888256080,productid:16468199923872281184,headlineOfferDocid:7989523430973615093,imageDocid:14335277489468888296,rds:PC_2542023685921626498|PROD_PC_2542023685921626498,gpcid:2542023685921626498,mid:576462892323018760,pvt:hg&hl=en&gl=in&udm=28",1699.0,"https://www.google.com/search?ibp=oshop&q=boAt Rockerz 255&prds=catalogid:5817040786888256080,productid:16468199923872281184,headlineOfferDocid:7989523430973615093,imageDocid:14335277489468888296,rds:PC_2542023685921626498|PROD_PC_2542023685921626498,gpcid:2542023685921626498,mid:576462892323018760,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
Sony WH-1000XM5,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTPVGJbS3ovw34w7ZHX5EA5dVQ8ee8l8TD3alOlTOUzjngHVy1PAFHUgeYLDiZl8q1HRLyPmgr39-9vY6AHBHcYS6CkMdLBxB25KjYNHz2lbkkqtKK6Vs3vNg,25990.0,Amazon,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:14889149413452437791,productid:5217231517271347468,headlineOfferDocid:13176445469281158479,imageDocid:7286169152305814435,rds:PC_11726664398501807381|PROD_PC_11726664398501807381,gpcid:11726664398501807381,mid:576462892684740299,pvt:hg&hl=en&gl=in&udm=28",25990.0,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:14889149413452437791,productid:5217231517271347468,headlineOfferDocid:13176445469281158479,imageDocid:7286169152305814435,rds:PC_11726664398501807381|PROD_PC_11726664398501807381,gpcid:11726664398501807381,mid:576462892684740299,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
JBL Wave 200,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS9lWmQYtaeiXiu0G7v64u1hS0vzeDho3otEaic4rnv57kCKvDJsqcMNHXF3g2oDW0Tqs4SNEVguFWU0UKiMTFpVjAB3GzRWvXzMPC7Odyb0geVxz-8vmkN,1499.0,Manual,,,,,,,,,,,
Noise Buds VS102,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRi50WDEecgbipI3z7sFP0CZfOgUPGpjRg-bCbX5249hbCUBQ2SM_B2uO7aLh7r7ZBIji_-qp0AGGo586JmpW5jOgfzZYqnOX6zMXkgddm3LxkQiKM1hpG6,899.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=Noise Buds VS102&prds=catalogid:7221277204660130016,productid:11764726283143197346,headlineOfferDocid:263196620596473676,imageDocid:3643922209479746175,rds:PC_3215597824122122838|PROD_PC_3215597824122122838,gpcid:3215597824122122838,pvt:hg&hl=en&gl=in&udm=28",1199.0,"https://www.google.com/search?ibp=oshop&q=Noise Buds VS102&prds=productid:9235387553022225532,headlineOfferDocid:9235387553022225532,imageDocid:7759890632034055830,rds:PC_58414235774081186|PROD_PC_58414235774081186,pvt:hg&hl=en&gl=in&udm=28",899.0,"https://www.google.com/search?ibp=oshop&q=Noise Buds VS102&prds=catalogid:7221277204660130016,productid:11764726283143197346,headlineOfferDocid:263196620596473676,imageDocid:3643922209479746175,rds:PC_3215597824122122838|PROD_PC_3215597824122122838,gpcid:3215597824122122838,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Realme Buds Air 5,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRQsJ0IPyslZhK5IDpbD_oomHne9BiT8AFn7dPMcfM6Zfm0jlfsXj65NgAPm43sEJV4auwyxLQJwSHRbgBT4JQoQn-Cg8CfoknkVvSmoroDc_qFsnHaOlHwNg,2699.0,Manual,,,,,,,,,,,
Noise ColorFit Pulse 2,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTxkcjfKkJYhGKJAvpdl6d3ANbbeOWQ84rFBvWYX-W_J2_h0hhJT5W4P1cUFZZWEmKVKWhcMeabKtrfjpR0tT84Hb-Jf2YQ9OMi4paDdlZiaPbVknrRyTZLYQ,870.0,Myntra,"https://www.google.com/search?ibp=oshop&q=Noise ColorFit Pulse 2&prds=catalogid:10694378583198007394,productid:7638008607481155617,headlineOfferDocid:12338688878143175622,imageDocid:2065317218365449342,rds:PC_17730264470351527575|PROD_PC_17730264470351527575,gpcid:17730264470351527575,mid:576462835575592377,pvt:hg&hl=en&gl=in&udm=28",1099.0,"https://www.google.com/search?ibp=oshop&q=Noise ColorFit Pulse 2&prds=catalogid:13760596890585429990,productid:16956041384227775012,headlineOfferDocid:6080648548396334013,imageDocid:8769385833308245819,rds:PC_1849575860806040201|PROD_PC_1849575860806040201,gpcid:1849575860806040201,mid:576462563334539451,pvt:hg&hl=en&gl=in&udm=28",,,,,,,870.0,"https://www.google.com/search?ibp=oshop&q=Noise ColorFit Pulse 2&prds=catalogid:10694378583198007394,productid:7638008607481155617,headlineOfferDocid:12338688878143175622,imageDocid:2065317218365449342,rds:PC_17730264470351527575|PROD_PC_17730264470351527575,gpcid:17730264470351527575,mid:576462835575592377,pvt:hg&hl=en&gl=in&udm=28"
Fire-Boltt Ninja Call,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRUN7Y4Us5tbkSUl9tFeXKWoMj2UuA6vGODc6T0lfjq0VAnH39cgiNs6RuCn7AXmNrdihWMafbZ-qzGO_PYJhsdBOHYeb5YOa8la2iHeVkSFmx4VL1YdyNlzQ,1199.0,Amazon,"https://www.google.com/search?ibp=oshop&q=Fire-Boltt Ninja Call&prds=catalogid:11855033668238799896,productid:615023876015213971,headlineOfferDocid:12415541623493219398,imageDocid:8170907132268074078,rds:PC_5510404142362980382|PROD_PC_5510404142362980382,gpcid:5510404142362980382,mid:576462538231334945,pvt:a&hl=en&gl=in&udm=28",1199.0,"https://www.google.com/search?ibp=oshop&q=Fire-Boltt Ninja Call&prds=catalogid:11855033668238799896,productid:615023876015213971,headlineOfferDocid:12415541623493219398,imageDocid:8170907132268074078,rds:PC_5510404142362980382|PROD_PC_5510404142362980382,gpcid:5510404142362980382,mid:576462538231334945,pvt:a&hl=en&gl=in&udm=28",,,,,,,,
boAt Wave Call,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS_4YXB3Ru0DEhw0KA4zVHUDPayG9GqwNX4DZE3ymaX90wwkGKVUuTmzuOudKZostLmENbHiYmNXVdOwKpi2fy2OBWMkTGovczF3Aw4e99M5wIClvbxv2eN-Q,1256.0,Amazon,"https://www.google.com/search?ibp=oshop&q=boAt Wave Call&prds=catalogid:15280261677507108209,productid:16728233339164141558,headlineOfferDocid:12456110275156603823,imageDocid:11337649947633275184,gpcid:6772490995790151858,mid:576462550314603652,pvt:hg&hl=en&gl=in&udm=28",1256.0,"https://www.google.com/search?ibp=oshop&q=boAt Wave Call&prds=catalogid:15280261677507108209,productid:16728233339164141558,headlineOfferDocid:12456110275156603823,imageDocid:11337649947633275184,gpcid:6772490995790151858,mid:576462550314603652,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
Apple Watch Series 9,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS7ZRLwY0bGLljprhGvhLZl_LTUhSlurILsQN6u76-XpSYcJIkaknojbLhhnmSZN68m42PFJO0uxsreCyzMnf-dEuf-WVVlGc1bANlYwJ06UHjm1_em1kZDig,34900.0,Manual,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:15893232887555089341,productid:9231969763720428828,headlineOfferDocid:8369401565899914325,imageDocid:16012622840206249335,pvt:hg&hl=en&gl=in&udm=28",415.0,"https://www.google.com/search?ibp=oshop&q=Apple Watch Series 9&prds=catalogid:15893232887555089341,productid:9231969763720428828,headlineOfferDocid:8369401565899914325,imageDocid:16012622840206249335,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
Samsung Galaxy Watch 6,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ2k0N02iZWFTB1Dgt1LvdAWVL8GROrPBxWzwuZ6CBAKiVFO8ka-wWgensZzODf170F106YtuQwYJlZh_Vj9TV1-6wx5GdEvVZcNv8nG0hSMwzQObQatqq8hQ,14499.0,Amazon,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy Watch 6&prds=productid:2398659633705282261,headlineOfferDocid:2398659633705282261,imageDocid:11549079407379558817,rds:PC_7979421913724576191|PROD_PC_7979421913724576191,pvt:a&hl=en&gl=in&udm=28",14499.0,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy Watch 6&prds=productid:2398659633705282261,headlineOfferDocid:2398659633705282261,imageDocid:11549079407379558817,rds:PC_7979421913724576191|PROD_PC_7979421913724576191,pvt:a&hl=en&gl=in&udm=28",,,,,,,,
Nike Revolution 6,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRvjjidf1lpkp_D0oGS8kh9LEkNdcNJgq18ZUxjJuZwfSlkuI1Kd64Ml4iuVI9ldz9YABc5jGHVGbJOug6n8MMVLqr9UPJ-Cl0YYphwsfNqKCuffGBpw3H7XLg,3141.0,Myntra,"https://www.google.com/search?ibp=oshop&q=Nike Revolution 6&prds=catalogid:16362611745640812290,productid:7877323600966180501,headlineOfferDocid:1320659009035296705,imageDocid:14219124276518197615,rds:PC_568249466466207397|PROD_PC_568249466466207397,gpcid:568249466466207397,mid:576462561877899397,pvt:a&hl=en&gl=in&udm=28",,,,,,,,,3141.0,"https://www.google.com/search?ibp=oshop&q=Nike Revolution 6&prds=catalogid:16362611745640812290,productid:7877323600966180501,headlineOfferDocid:1320659009035296705,imageDocid:14219124276518197615,rds:PC_568249466466207397|PROD_PC_568249466466207397,gpcid:568249466466207397,mid:576462561877899397,pvt:a&hl=en&gl=in&udm=28"
Nike Air Force 1,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT-ojcZ4l4ST6cbbLSPZx8bImWXjLNQI1lwOyI1kgY8tBjQwtd5hKAYWHBrWve6qnqsNw9Z4x-1,9695.0,Myntra,"https://www.google.com/search?ibp=oshop&q=Nike Air Force 1&prds=catalogid:16294647589336138934,productid:8677118605753135749,headlineOfferDocid:9326580887868277840,imageDocid:336673591928562483,rds:PC_6665666492142382147|PROD_PC_6665666492142382147,gpcid:6665666492142382147,pvt:a&hl=en&gl=in&udm=28",,,,,,,,,9695.0,"https://www.google.com/search?ibp=oshop&q=Nike Air Force 1&prds=catalogid:16294647589336138934,productid:8677118605753135749,headlineOfferDocid:9326580887868277840,imageDocid:336673591928562483,rds:PC_6665666492142382147|PROD_PC_6665666492142382147,gpcid:6665666492142382147,pvt:a&hl=en&gl=in&udm=28"
